Frame_No,LH_Hand_X,LH_Hand_Y,LH_Hand_Z,LH_Elbow_X,LH_Elbow_Y,LH_Elbow_Z,LH_Shoulder_X,LH_Shoulder_Y,LH_Shoulder_Z,RH_Hand_X,RH_Hand_Y,RH_Hand_Z,RH_Elbow_X,RH_Elbow_Y,RH_Elbow_Z,RH_Shoulder_X,RH_Shoulder_Y,RH_Shoulder_Z,Torso_X,Torso_Y,Torso_Z
161,       742,       606,      785,      760,      478,      987,      793,      389,      1234,      998,      593,      785,      1059,      448,      1041,      1051,      395,      1232,      900,      544,      1274,      
162,       742,       606,      785,      760,      478,      987,      793,      389,      1234,      998,      593,      785,      1059,      448,      1041,      1051,      395,      1232,      900,      544,      1274,      
163,       742,       606,      785,      760,      478,      987,      793,      389,      1234,      998,      593,      785,      1059,      448,      1041,      1051,      395,      1232,      900,      544,      1274,      
164,       746,       592,      776,      762,      476,      987,      794,      389,      1234,      996,      581,      772,      1058,      444,      1039,      1051,      395,      1232,      900,      543,      1274,      
165,       749,       595,      778,      762,      476,      987,      794,      389,      1234,      996,      575,      773,      1058,      444,      1039,      1051,      395,      1232,      900,      543,      1274,      
166,       746,       595,      779,      764,      473,      986,      794,      389,      1234,      996,      570,      774,      1058,      444,      1039,      1051,      394,      1232,      900,      543,      1274,      
167,       746,       600,      778,      765,      471,      985,      794,      388,      1234,      992,      568,      779,      1058,      443,      1038,      1051,      394,      1232,      900,      543,      1273,      
168,       746,       600,      778,      765,      471,      985,      794,      388,      1234,      992,      568,      779,      1058,      443,      1038,      1051,      394,      1232,      900,      543,      1273,      
169,       746,       600,      776,      766,      471,      985,      794,      388,      1234,      993,      568,      771,      1058,      443,      1038,      1051,      394,      1232,      900,      543,      1273,      
170,       748,       600,      782,      766,      470,      985,      794,      388,      1234,      991,      572,      770,      1058,      443,      1038,      1051,      394,      1231,      900,      542,      1273,      
171,       749,       600,      778,      767,      470,      985,      794,      388,      1234,      981,      571,      780,      1058,      442,      1038,      1051,      394,      1231,      900,      542,      1273,      
172,       749,       597,      782,      767,      470,      985,      794,      388,      1234,      980,      568,      782,      1058,      442,      1038,      1051,      394,      1231,      900,      542,      1273,      
173,       749,       597,      779,      768,      470,      985,      795,      388,      1234,      969,      567,      782,      1058,      442,      1038,      1051,      394,      1231,      900,      542,      1273,      
174,       755,       595,      779,      769,      470,      985,      795,      388,      1234,      984,      567,      778,      1055,      438,      1037,      1051,      394,      1231,      900,      542,      1273,      
175,       752,       595,      777,      769,      470,      985,      795,      388,      1234,      990,      568,      781,      1055,      438,      1037,      1051,      394,      1231,      900,      542,      1273,      
176,       755,       589,      776,      769,      470,      985,      795,      388,      1234,      983,      564,      778,      1055,      438,      1037,      1051,      394,      1232,      900,      542,      1273,      
177,       759,       585,      780,      773,      443,      983,      795,      388,      1234,      992,      564,      774,      1054,      435,      1036,      1051,      394,      1232,      901,      542,      1273,      
178,       761,       580,      776,      772,      463,      983,      795,      388,      1234,      993,      562,      773,      1053,      433,      1035,      1052,      393,      1232,      901,      542,      1273,      
179,       768,       560,      825,      773,      442,      982,      795,      388,      1234,      989,      561,      775,      1053,      433,      1035,      1052,      393,      1232,      901,      542,      1273,      
180,       764,       558,      826,      773,      442,      982,      795,      388,      1234,      980,      556,      780,      1053,      433,      1036,      1052,      393,      1232,      901,      541,      1273,      
